sales_week,sales_date,transaction_id,year,make,model_id,model,drive_type,door,transmission,base_msrp,engine,transaction_msrp,destination,bodytype,zip,State,dealercash,customercash,finance,lease,cash,trim,trim_id,make_id,longitude,latitude,price,diff
23JAN2010,23JAN2010,312203008,2010,Chevrolet,60933,Tahoe,RWD,4,Automatic,42830,"Engine, Vortec 5.3L V8 SFI FlexFuel with Active Fuel Management, capable of running on unleaded or up to 85% ethanol (with gas - 320 hp [238.6 kW] @ 5400 rpm, 335 lb-ft of torque [452.2 N-m] @ 4000 rpm, with E85 ethanol - 326 hp [243.1 kW] @ 5300 rpm, 348 lb-ft of torque [469.8 N-m] @ 4400 rpm), iron block",46330,950,SUV,92605,CA,0,0,0,1,0,2WD 4dr 1500 LT,1621933,1786,-118.007674,33.715123999999996,92660.0,49830.0
12DEC2009,12DEC2009,159575225,2010,Mitsubishi,62511,Galant,FWD,4,Automatic,21599,2.4L SOHC MPFI MIVEC 16-valve I4 engine,23394,795,Sedan,11776,NY,0,0,1,0,0,4dr Sdn ES,1645653,1505,-73.046164,40.90984,46788.0,25189.0
30JAN2010,30JAN2010,318878176,2009,Toyota,56865,Corolla,FWD,4,Manual,16520,1.8L DOHC SFI 16-valve VVT-i 4-cyl engine,22205,760,Sedan,98190,WA,1000,750,1,0,0,4dr Sdn Man S (Natl),1546633,1644,-122.29496699999999,47.503893,44410.0,27890.0
27MAR2010,27MAR2010,510135521,2009,Ford,58029,F-150,4WD,4,Automatic,46570,5.4L 3V EFI V8 FFV engine -inc: electronic-shift-on-the fly (ESOF),47545,975,Truck,84124,UT,0,2500,1,0,0,"4WD SuperCrew 157"" Platinum",1584518,1924,-111.829118,40.685813,95090.0,48520.0
02JAN2010,02JAN2010,242972016,2009,Ford,58029,F-150,RWD,4,Automatic,34445,4.6L 3V EFI V8 engine,35645,975,Truck,6468,CT,0,1500,0,0,1,"2WD SuperCrew 157"" FX2 Sport",1584353,1924,-73.23444,41.3409,71290.0,36845.0
01MAY2010,01MAY2010,631950789,2010,Mercedes-Benz,61509,E-Class,RWD,4,Automatic,49400,3.5L DOHC 24-valve V6 engine,50275,875,Sedan,32966,FL,0,0,1,0,0,4dr Sdn Sport 3.5L RWD,1630238,2291,-80.47539599999999,27.637794,100550.0,51150.0
13MAR2010,13MAR2010,470869746,2010,Honda,62850,Accord Sedan,FWD,4,Automatic,31830,3.5L SOHC MPFI 24-valve i-VTEC V6 engine,35725,770,Sedan,92590,CA,0,0,0,1,0,4dr V6 Auto EX-L w/Navi,1649628,1620,-117.22554,33.483865,71450.0,39620.0
05DEC2009,05DEC2009,143313380,2009,Dodge,58374,Caliber,FWD,4,Automatic,18060,2.0L DOHC dual VVT 16-valve I4 engine,23885,750,Hatchback,77522,TX,0,0,1,0,0,4dr HB Mainstreet,1618708,1726,-94.96837,29.756389000000002,47770.0,29710.0
20FEB2010,20FEB2010,402619653,2010,Chevrolet,60780,Silverado 1500,4WD,2,Automatic,33380,"Engine, Vortec 5.3L Variable Valve Timing V8 SFI FlexFuel with Active Fuel Management capable of running on unleaded or up to 85% ethanol (with gas - 315 hp [234.8 kW] @ 5200 rpm, 335 lb-ft of torque [452.2 N-m] @ 4000 rpm, with E85 ethanol - 326 hp [243.1 kW] @ 5300 rpm, 348 lb-ft of torque [469.8 N-m] @ 4400 rpm), iron block (Not available with CK10543 or CK10753 models. On CC10543 or CC10753 models, retail orders require (PDU) All-Star Edition, (PDA) Texas Edition, (PEB) Regional Value Package or (PEF) Florida Edition.)",34575,995,Truck,95133,CA,0,0,0,1,0,"4WD Ext Cab 157.5"" LT",1620533,1786,-121.85689199999999,37.375782,69150.0,35770.0
30JAN2010,30JAN2010,321364142,2010,Toyota,61971,4Runner,4WD,4,Automatic,36555,4.0L DOHC 24-valve VVT-i V6 engine,39690,810,SUV,94622,CA,0,0,1,0,0,4WD 4dr V6 Trail (Natl),1635833,1644,-122.19416899999999,37.749508,79380.0,42825.0
